SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
15345	0.575	8300	0.106	2.042	8300	1.455
15346	0.126	10000	0.1	1.56	10000	1.472
15347	0.233	9700	0.099	1.953	9700	1.503
15348	0.281	10500	0.099	1.74	10500	1.502
15349	0.155	9700	0.104	1.742	9700	1.486
15350	1.142	9800	0.102	2.55	9800	1.482
15351	0.637	9300	0.093	2.105	9300	1.486
15352	1.545	10800	0.098	2.91	10800	1.452
15353	0.185	9600	0.101	1.633	9600	1.438
15354	0.88	7900	0.107	2.184	7900	1.49
15355	0.249	9500	0.104	1.726	9500	1.535
15356	0.134	9700	0.082	1.708	9700	1.489
15357	0.148	10100	0.098	1.777	10100	1.486
15358	0.986	9500	0.105	2.536	9500	1.49
15359	0.282	8400	0.097	1.838	8400	1.497
15360	0.798	9500	0.102	2.257	9500	1.5
15361	2.983	10000	0.097	4.157	10000	1.518
15362	1.26	10000	0.089	2.659	10000	1.563
15363	58.945	6400	0.099	41.892	6400	1.502
15364	55.434	7000	0.101	41.669	7000	1.518
15365	7.22	6000	0.109	6.167	6000	1.547
15366	10.15	6000	0.095	8.423	6000	1.528
15367	3.765	6200	0.094	4.274	6200	1.491
15368	2.382	5600	0.098	3.318	5600	1.393
15369	1.242	9100	0.095	2.477	9100	1.406
15370	0.144	7500	0.111	1.54	7500	1.415
15371	0.154	8400	0.099	1.534	8400	1.39
15372	0.225	8100	0.108	1.591	8100	1.4
15373	0.122	8000	0.115	1.493	8000	1.45
15374	0.179	9200	0.141	1.509	9200	1.487
15375	0.182	8000	0.184	1.564	8000	1.498
15376	0.659	2700	0.149	1.799	2700	1.472
15377	3.72	5000	0.119	25.969	5000	1.451
15378	11.044	4800	0.111	2.533	4800	1.42
15379	0.135	9400	0.107	1.7	9400	1.393
15380	0.229	8400	0.118	1.724	8400	1.4
15381	0.157	8400	0.111	1.639	8400	1.454
15382	0.26	8100	0.098	1.679	8100	1.451
15383	1.777	8700	0.137	2.709	8700	1.4
15384	1.048	8500	0.143	2.303	8500	1.435
15385	0.446	8500	0.133	1.854	8500	1.436
15386	19.173	9600	0.134	14.933	9600	1.42
15387	25.253	9500	0.147	21.3	9500	1.467
15388	0.121	8000	0.13	1.419	8000	1.384
15389	0.179	8300	0.105	1.492	8300	1.442
15390	0.314	8500	0.12	1.722	8500	1.521
15391	0.697	5200	0.117	2.005	5200	1.503
15392	0.195	5900	0.134	1.704	5900	1.491
15393	0.596	7100	0.137	1.999	7100	1.486
15394	1.379	6700	0.105	2.534	6700	1.481
15395	0.154	8600	0.086	1.669	8600	1.493
15396	1.002	10200	0.086	2.347	10200	1.525
15397	0.127	8700	0.094	1.56	8700	1.527
15398	0.523	9200	0.102	1.973	9200	1.509
15399	5.221	10000	0.111	5.904	10000	1.516
15400	0.147	8400	0.113	1.649	8400	1.519
15401	0.711	9800	0.096	2.013	9800	1.517
15402	0.322	8600	0.115	1.726	8600	1.44
15403	0.733	10100	0.123	2.052	10100	1.492
15404	0.575	9200	0.099	2.125	9200	1.535
15405	0.549	9200	0.096	1.932	9200	1.516
15406	0.137	10400	0.109	1.661	10400	1.508
15407	17.575	9900	0.108	13.684	9900	1.499
15408	0.198	9400	0.097	1.763	9400	1.524
15409	0.138	9100	0.105	1.69	9100	1.531
15410	2.613	10400	0.109	3.647	10400	1.521
15411	3.769	8400	0.12	4.637	8400	1.479
15412	0.858	8300	0.116	2.257	8300	1.485
15413	0.279	7500	0.106	1.74	7500	1.542
15414	0.944	7300	0.104	2.326	7300	1.551
15415	0.296	7700	0.101	1.742	7700	1.483
15416	1.253	8300	0.132	2.494	8300	1.435
15417	0.217	8900	0.102	1.702	8900	1.418
15418	0.113	9900	0.094	1.638	9900	1.41
15419	0.128	7800	0.101	1.536	7800	1.4
15420	0.138	7800	0.138	1.554	7800	1.399
15421	0.175	8600	0.11	1.592	8600	1.447
15422	1.009	8000	0.105	2.373	8000	1.476
15423	0.139	7200	0.113	1.484	7200	1.459
15424	1.784	8100	0.128	2.762	8100	1.442
15425	0.886	8500	0.116	2.137	8500	1.403
15426	0.326	8000	0.11	1.709	8000	1.434
15427	0.163	8000	0.121	1.573	8000	1.503
15428	0.125	8000	0.124	1.577	8000	1.503
15429	0.209	9200	0.118	1.743	9200	1.433
15430	0.19	8500	0.108	1.603	8500	1.458
15431	0.156	3300	0.083	1.434	3300	1.448
15432	0.122	8000	0.1	1.463	8000	1.389
15433	0.149	9500	0.141	1.614	9500	1.401
15434	0.159	10500	0.132	1.502	10500	1.481
15435	0.192	8000	0.143	1.535	8000	1.417
15436	0.144	8600	0.11	1.619	8600	1.416
15437	0.106	8000	0.1	1.368	8000	1.394
15438	1.5	10400	0.096	2.594	10400	1.418
15439	0.54	10000	0.118	1.97	10000	1.398
15440	0.166	11000	0.108	1.811	11000	1.407
15441	0.806	9900	0.097	2.251	9900	1.486
15442	0.146	10300	0.104	1.767	10300	1.506
15443	0.105	8000	0.096	1.555	8000	1.507
15444	0.118	8000	0.092	1.525	8000	1.458
15445	1.647	8900	0.084	2.817	8900	1.502
15446	19.572	9800	0.097	18.22	9800	1.548
15447	0.191	8500	0.111	1.649	8500	1.531
15448	0.132	8800	0.117	1.572	8800	1.536
15449	0.371	8400	0.138	1.842	8400	1.59
15450	0.11	10200	0.113	1.622	10200	1.562
15451	0.262	7000	0.12	1.661	7000	1.481
15452	0.136	9800	0.139	1.586	9800	1.478
15453	0.17	9700	0.139	1.633	9700	1.533
15454	0.395	8600	0.127	1.851	8600	1.557
15455	0.357	7400	0.119	1.77	7400	1.524
15456	0.136	9500	0.11	1.609	9500	1.53
15457	0.246	8900	0.097	1.717	8900	1.532
15458	0.183	9000	0.11	1.683	9000	1.57
15459	0.134	8600	0.113	1.645	8600	1.545
15460	2.119	9300	0.104	3.22	9300	1.535
15461	0.282	10400	0.112	1.993	10400	1.582
15462	0.508	10200	0.11	2.089	10200	1.571
15463	0.124	8400	0.105	1.654	8400	1.554
15464	0.351	10400	0.129	2.004	10400	1.478
15465	0.26	10700	0.14	1.896	10700	1.446
15466	0.504	10300	0.1	1.993	10300	1.448
15467	0.409	9900	0.1	1.871	9900	1.445
15468	0.132	10700	0.138	1.699	10700	1.395
15469	0.409	10100	0.134	1.93	10100	1.365
15470	0.138	9900	0.109	1.76	9900	1.41
15471	0.414	10300	0.1	2.019	10300	1.45
15472	2.947	10400	0.094	3.865	10400	1.393
15473	0.328	9900	0.085	1.826	9900	1.411
15474	0.783	9900	0.077	2.313	9900	1.413
15475	0.147	8800	0.099	1.595	8800	1.421
15476	2.402	9500	0.131	3.405	9500	1.453
15477	0.848	9800	0.105	2.192	9800	1.477
15478	1.811	9100	0.106	2.768	9100	1.465
15479	0.258	9000	0.105	1.721	9000	1.478
15480	0.144	8800	0.1	1.577	8800	1.41
15481	0.342	8200	0.106	1.739	8200	1.4
15482	0.162	9100	0.132	1.586	9100	1.416
15483	0.135	9600	0.141	1.514	9600	1.397
15484	0.195	8000	0.14	1.543	8000	1.433
15485	5.658	9600	0.117	5.871	9600	1.427
15486	0.108	8000	0.09	1.447	8000	1.411
15487	0.201	8700	0.097	1.574	8700	1.38
15488	0.154	7200	0.125	1.493	7200	1.364
15489	0.448	5000	0.111	1.717	5000	1.419
15490	0.167	9500	0.103	1.638	9500	1.511
15491	0.125	9500	0.1	1.674	9500	1.5
15492	5.148	10500	0.094	5.429	10500	1.497
15493	0.148	10000	0.105	1.669	10000	1.507
15494	0.619	10200	0.099	1.995	10200	1.527
15495	2.733	9800	0.1	3.903	9800	1.578
15496	0.351	9700	0.094	1.81	9700	1.529
15497	0.346	9800	0.108	1.946	9800	1.481
15498	1.087	9300	0.141	2.274	9300	1.502
15499	3.19	10100	0.097	4.173	10100	1.467
15500	0.324	10400	0.099	1.925	10400	1.464
15501	4.012	10200	0.12	4.633	10200	1.479
15502	0.214	10300	0.147	1.718	10300	1.479
15503	0.271	9800	0.126	1.717	9800	1.521
15504	0.391	9600	0.111	1.912	9600	1.515
15505	1.989	9800	0.11	3.199	9800	1.495
15506	0.135	9000	0.097	1.668	9000	1.492
15507	0.116	9600	0.105	1.64	9600	1.524
15508	0.561	7900	0.078	1.945	7900	1.582
15509	0.205	8700	0.078	1.713	8700	1.61
15510	0.267	6600	0.11	1.727	6600	1.595
15511	0.146	9400	0.107	1.691	9400	1.565
15512	0.124	9300	0.1	1.661	9300	1.541
15513	0.103	8000	0.113	1.579	8000	1.502
15514	0.481	8000	0.113	1.803	8000	1.486
15515	0.538	9200	0.097	1.903	9200	1.474
15516	0.107	8000	0.099	1.518	8000	1.43
15517	0.124	9600	0.129	1.544	9600	1.395
15518	0.203	7700	0.09	1.564	7700	1.339
15519	0.803	9000	0.102	2.018	9000	1.377
15520	0.138	8800	0.115	1.51	8800	1.413
15521	0.139	7800	0.125	1.547	7800	1.406
